"model_id","split_type","fold","n_train","n_test","fold_rmse","fold_mae","fold_rsq"
"xgb","spatial_cv_validation",1,13827,2034,13192.7234977322,6702.69496644745,0.0586233308319793
"xgb","spatial_cv_validation",2,12904,2957,21738.4555964017,8174.45313698688,-0.419666985841854
"xgb","spatial_cv_validation",3,12733,3128,47200.4975895926,12573.7794002551,0.0848883003224368
"xgb","spatial_cv_validation",4,12022,3839,43436.9927434213,11524.5511163884,0.126886062825891
"xgb","spatial_cv_validation",5,11958,3903,24875.9405796516,9507.29599060696,-0.599760924880773
